mame2003 per-game video output color format
======================================================================

HOW THE FORMAT IS CHOSEN (per loaded game, default options)
----------------------------------------------------------------------
The libretro pixel format is selected once at load from the driver's video
attributes, and the frame is delivered with the fewest copies/conversions:

  VIDEO_RGB_DIRECT + (6BITS_PER_GUN or VECTOR) -> 32bpp -> XRGB8888
      Direct RGB; handed to the frontend as-is. Zero-copy pointer pass
      straight from the game bitmap when the game is not rotated/flipped.
  VIDEO_RGB_DIRECT (no 6BITS, not vector)      -> 15bpp -> RGB565
      0RGB1555 is up-converted to RGB565 with a single shift per pixel
      (RGB565 is the frontend's fast path; 0RGB1555 is not).
  paletted + 6BITS_PER_GUN                      -> 16bpp -> XRGB8888
      Palette index resolved to 32bpp via the game palette.
  paletted (otherwise)                          -> 16bpp -> RGB565
      Palette pre-resolved to an RGB565 table on palette change; the
      per-pixel path is a plain table lookup with no arithmetic.

In every non-bypass case the conversion writes straight into the frontend
framebuffer when GET_CURRENT_SOFTWARE_FRAMEBUFFER grants one, else into an
internal buffer. Rotated/flipped games convert rather than bypass.

Totals: RGB565 3642 (79.4%), XRGB8888 947 (20.6%) of 4589 games.


######################################################################
# RGB565  - paletted 16bpp, palette pre-resolved to 565 (table lookup)   (3641 games)
######################################################################
wb3a           machine=wb3              RGB565
wb3bl          machine=wb3bl            RGB565
wbdeluxe       machine=system1          RGB565
wbeachvl       machine=wbeachvl         RGB565
wbml           machine=wbml             RGB565
wbmlb          machine=wbml             RGB565
wbmljb         machine=wbml             RGB565
wbmljo         machine=wbml             RGB565
wboy           machine=system1          RGB565
wboy2          machine=system1          RGB565
wboy2u         machine=system1          RGB565
wboy3          machine=system1          RGB565
wboyo          machine=system1          RGB565
wboyu          machine=system1          RGB565
wc90           machine=wc90             RGB565
wc90a          machine=wc90             RGB565
wc90b          machine=wc90b            RGB565
wc90t          machine=wc90t            RGB565
wcbowl         machine=sftm             RGB565
wcbwl12        machine=wcbowl           RGB565
wcbwl161       machine=sftm             RGB565
wcbwl165       machine=sftm             RGB565
welltris       machine=welltris         RGB565
weststry       machine=weststry         RGB565
wexpresb       machine=exprraid         RGB565
wexpresc       machine=exprraid         RGB565
wexpress       machine=exprraid         RGB565
wfortuna       machine=tmshi2203        RGB565
wfortune       machine=tmshi2203        RGB565
wg3dh          machine=seattle150       RGB565
wgp            machine=wgp              RGB565
wgp2           machine=wgp2             RGB565
wgpj           machine=wgp              RGB565
wgpjoy         machine=wgp              RGB565
wgpjoya        machine=wgp              RGB565
wh1            machine=neogeo           RGB565
wh1h           machine=neogeo           RGB565
wh2            machine=neogeo           RGB565
wh2j           machine=neogeo           RGB565
whizquiz       machine=trackfld         RGB565
whizz          machine=whizz            RGB565
whodunit       machine=exidy440         RGB565
whoopee        machine=whoopee          RGB565
whp            machine=neogeo           RGB565
wildfang       machine=shadoww          RGB565
wilytowr       machine=wilytowr         RGB565
wintbob        machine=wintbob          RGB565
wiping         machine=wiping           RGB565
wiseguy        machine=gundealr         RGB565
wits           machine=wits             RGB565
wiz            machine=wiz              RGB565
wizt           machine=wiz              RGB565
wjammers       machine=neogeo           RGB565
wmatch         machine=small            RGB565
wndrmomo       machine=wndrmomo         RGB565
wndrplnt       machine=wndrplnt         RGB565
wolfpack       machine=wolfpack         RGB565
worldc94       machine=gstriker         RGB565
worldwar       machine=bermudat         RGB565
wow            machine=wow              RGB565
wpksoc         machine=firebarr         RGB565
wrally         machine=wrally           RGB565
wrally2        machine=wrally2          RGB565
wrallya        machine=wrally           RGB565
wrecking       machine=vsdual           RGB565
wrestwar       machine=wrestwar         RGB565
wrofaero       machine=wrofaero         RGB565
wseries        machine=leland           RGB565
wsf            machine=wsf              RGB565
wtennis        machine=wtennis          RGB565
wwester1       machine=nomcu            RGB565
wwestern       machine=nomcu            RGB565
wwfsstar       machine=wwfsstar         RGB565
wwfwfest       machine=wwfwfest         RGB565
wwfwfsta       machine=wwfwfest         RGB565
wwfwfstj       machine=wwfwfest         RGB565
wwjgtin        machine=wwjgtin          RGB565
xday2          machine=namcona1         RGB565
xenophob       machine=xenophob         RGB565
xevi3dg        machine=coh110_danceyes  RGB565
xevios         machine=xevios           RGB565
xevious        machine=xevious          RGB565
xeviousa       machine=xevious          RGB565
xeviousb       machine=xevious          RGB565
xfiles         machine=xfiles           RGB565
xmen           machine=xmen             RGB565
xmen2p         machine=xmen             RGB565
xmen2pj        machine=xmen             RGB565
xmen6p         machine=xmen             RGB565
xmultipl       machine=xmultipl         RGB565
xorworld       machine=xorworld         RGB565
xsleena        machine=xsleena          RGB565
xsleenab       machine=xsleena          RGB565
xxmissio       machine=xxmissio         RGB565
xyonix         machine=xyonix           RGB565
yamagchi       machine=tsamurai         RGB565
yamato         machine=yamato           RGB565
yamato2        machine=yamato           RGB565
yamyam         machine=gundealr         RGB565
yanchamr       machine=kidniki          RGB565
yankeedo       machine=mrdo             RGB565
yard           machine=yard             RGB565
yarunara       machine=yarunara         RGB565
yesnoj         machine=yesnoj           RGB565
yiear          machine=yiear            RGB565
yiear2         machine=yiear            RGB565
yosakdon       machine=yosakdon         RGB565
youjyudn       machine=youjyudn         RGB565
youma          machine=ninjemak         RGB565
yumefuda       machine=yumefuda         RGB565
yuyugogo       machine=yuyugogo         RGB565
zaryavos       machine=intrepid         RGB565
zarzon         machine=satansat         RGB565
zaviga         machine=bwing            RGB565
zavigaj        machine=bwing            RGB565
zaxxon         machine=zaxxon           RGB565
zaxxon2        machine=zaxxon           RGB565
zaxxonb        machine=zaxxon           RGB565
zedblade       machine=neogeo           RGB565
zerohour       machine=zerohour         RGB565
zeropnt        machine=zeropnt          RGB565
zeropnt2       machine=zeropnt2         RGB565
zeropnta       machine=zeropnt          RGB565
zerotime       machine=galaxian         RGB565
zerowing       machine=zerowing         RGB565
zerozone       machine=zerozone         RGB565
zigzag         machine=zigzag           RGB565
zigzag2        machine=zigzag           RGB565
zingzip        machine=zingzip          RGB565
zoar           machine=zoar             RGB565
zodiack        machine=zodiack          RGB565
zombraid       machine=gundhara         RGB565
zunkyou        machine=segac2           RGB565
zwackery       machine=zwackery         RGB565
zzyzzyx2       machine=jack             RGB565
zzyzzyxx       machine=jack             RGB565

######################################################################
# XRGB8888 - paletted 16bpp needing 6 bits/gun, palette lookup to 32bpp   (655 games)
######################################################################
1941           machine=cps1             XRGB8888
1941j          machine=cps1             XRGB8888
1944           machine=cps2             XRGB8888
1944j          machine=cps2             XRGB8888
19xx           machine=cps2             XRGB8888
19xxa          machine=cps2             XRGB8888
19xxh          machine=cps2             XRGB8888
19xxj          machine=cps2             XRGB8888
19xxjr1        machine=cps2             XRGB8888
3wonders       machine=cps1             XRGB8888
3wonderu       machine=cps1             XRGB8888
47pie2         machine=ms32             XRGB8888
47pie2o        machine=ms32             XRGB8888
720            machine=720              XRGB8888
720g           machine=720              XRGB8888
720gr1         machine=720              XRGB8888
720r1          machine=720              XRGB8888
720r2          machine=720              XRGB8888
720r3          machine=720              XRGB8888
9ballsh2       machine=9ballsht         XRGB8888
9ballsh3       machine=9ballsht         XRGB8888
9ballsht       machine=9ballsht         XRGB8888
aircombj       machine=poly_c140_typeB  XRGB8888
aircombu       machine=poly_c140_typeB  XRGB8888
akiss          machine=ms32             XRGB8888
alice          machine=ns1              XRGB8888
apb            machine=atarisy2         XRGB8888
apb1           machine=atarisy2         XRGB8888
apb2           machine=atarisy2         XRGB8888
apb3           machine=atarisy2         XRGB8888
apb4           machine=atarisy2         XRGB8888
apb5           machine=atarisy2         XRGB8888
apb6           machine=atarisy2         XRGB8888
apbf           machine=atarisy2         XRGB8888
apbg           machine=atarisy2         XRGB8888
aponow         machine=rescue           XRGB8888
arcadecl       machine=arcadecl         XRGB8888
area88         machine=cps1             XRGB8888
armwar         machine=cps2             XRGB8888
armwara        machine=cps2             XRGB8888
armwaru        machine=cps2             XRGB8888
assault        machine=default          XRGB8888
assaultj       machine=default          XRGB8888
assaultp       machine=default          XRGB8888
asterix        machine=asterix          XRGB8888
astrxeaa       machine=asterix          XRGB8888
astrxeac       machine=asterix          XRGB8888
avsp           machine=cps2             XRGB8888
avspa          machine=cps2             XRGB8888
avspj          machine=cps2             XRGB8888
avspu          machine=cps2             XRGB8888
baddudes       machine=baddudes         XRGB8888
badlands       machine=badlands         XRGB8888
bakutotu       machine=bakutotu         XRGB8888
batcir         machine=cps2             XRGB8888
batcira        machine=cps2             XRGB8888
batcirj        machine=cps2             XRGB8888
batman         machine=batman           XRGB8888
bbbxing        machine=ms32             XRGB8888
beathead       machine=beathead         XRGB8888
berabohm       machine=ns1              XRGB8888
beraboho       machine=ns1              XRGB8888
bijokkog       machine=mbmj_p16bit_LCD  XRGB8888
bijokkoy       machine=mbmj_p16bit_LCD  XRGB8888
bionicc        machine=bionicc          XRGB8888
bionicc2       machine=bionicc          XRGB8888
birdtry        machine=birdtry          XRGB8888
blastoff       machine=ns1              XRGB8888
blazer         machine=ns1              XRGB8888
boxyboy        machine=ns1              XRGB8888
burnforc       machine=default          XRGB8888
captcomj       machine=cps1             XRGB8888
captcomm       machine=cps1             XRGB8888
captcomu       machine=cps1             XRGB8888
cawing         machine=cps1             XRGB8888
cawingj        machine=cps1             XRGB8888
cawingu        machine=cps1             XRGB8888
cbuster        machine=twocrude         XRGB8888
cbusterj       machine=twocrude         XRGB8888
cbusterw       machine=twocrude         XRGB8888
chikij         machine=cps1             XRGB8888
cninja         machine=cninja           XRGB8888
cninja0        machine=cninja           XRGB8888
cninjau        machine=cninja           XRGB8888
coolpool       machine=coolpool         XRGB8888
cosmogng       machine=default          XRGB8888
cosmognj       machine=default          XRGB8888
csclub         machine=cps2             XRGB8888
cscluba        machine=cps2             XRGB8888
csclubh        machine=cps2             XRGB8888
csclubj        machine=cps2             XRGB8888
cspring1       machine=sprint           XRGB8888
csprins1       machine=sprint           XRGB8888
csprint        machine=sprint           XRGB8888
csprint1       machine=sprint           XRGB8888
csprint2       machine=sprint           XRGB8888
csprintf       machine=sprint           XRGB8888
csprintg       machine=sprint           XRGB8888
csprints       machine=sprint           XRGB8888
cworld2j       machine=cps1             XRGB8888
cyberba2       machine=cyberbal         XRGB8888
cyberbal       machine=cyberbal         XRGB8888
cyberbap       machine=cyberbal         XRGB8888
cyberbt        machine=cyberbal         XRGB8888
cyberbt1       machine=cyberbal         XRGB8888
cybots         machine=cps2             XRGB8888
cybotsj        machine=cps2             XRGB8888
cybsled        machine=poly_c140_typeA  XRGB8888
daimakai       machine=cps1             XRGB8888
dangseed       machine=ns1              XRGB8888
darksea1       machine=darkseal         XRGB8888
darkseaj       machine=darkseal         XRGB8888
darkseal       machine=darkseal         XRGB8888
dbz            machine=dbz              XRGB8888
dbz2           machine=dbz2             XRGB8888
ddtod          machine=cps2             XRGB8888
ddtoda         machine=cps2             XRGB8888
ddtodh         machine=cps2             XRGB8888
ddtodj         machine=cps2             XRGB8888
ddtodu         machine=cps2             XRGB8888
ddtodur1       machine=cps2             XRGB8888
desertwr       machine=ms32             XRGB8888
dimahoo        machine=cps2             XRGB8888
dino           machine=qsound           XRGB8888
dinoj          machine=qsound           XRGB8888
dinou          machine=qsound           XRGB8888
dirtfoxj       machine=default          XRGB8888
drgninja       machine=baddudes         XRGB8888
dsaber         machine=default          XRGB8888
dsaberj        machine=default          XRGB8888
dspirit        machine=ns1              XRGB8888
dspirito       machine=ns1              XRGB8888
dstlk          machine=cps2             XRGB8888
dstlka         machine=cps2             XRGB8888
dstlku         machine=cps2             XRGB8888
dstlkur1       machine=cps2             XRGB8888
dw             machine=cps1             XRGB8888
dwj            machine=cps1             XRGB8888
ecofghta       machine=cps2             XRGB8888
ecofghtr       machine=cps2             XRGB8888
edrandy        machine=edrandy          XRGB8888
edrandy1       machine=edrandy          XRGB8888
edrandyj       machine=edrandy          XRGB8888
eprom          machine=eprom            XRGB8888
eprom2         machine=eprom            XRGB8888
f1superb       machine=ms32             XRGB8888
faceoff        machine=faceoff          XRGB8888
ffantasa       machine=hippodrm         XRGB8888
ffantasy       machine=hippodrm         XRGB8888
ffight         machine=cps1             XRGB8888
ffightj        machine=cps1             XRGB8888
ffightj1       machine=cps1             XRGB8888
ffightu        machine=cps1             XRGB8888
finalap2       machine=finallap         XRGB8888
finalap3       machine=finallap         XRGB8888
finalapc       machine=finallap         XRGB8888
finalapd       machine=finallap         XRGB8888
finallap       machine=finallap         XRGB8888
finalp2j       machine=finallap         XRGB8888
finalp3a       machine=finallap         XRGB8888
finehour       machine=default          XRGB8888
finlapjb       machine=finallap         XRGB8888
finlapjc       machine=finallap         XRGB8888
forgottn       machine=forgottn         XRGB8888
fourtrax       machine=finallap         XRGB8888
galag88b       machine=ns1              XRGB8888
galag88j       machine=ns1              XRGB8888
galaga88       machine=ns1              XRGB8888
gametngk       machine=ms32             XRGB8888
gatedom1       machine=darkseal         XRGB8888
gatedoom       machine=darkseal         XRGB8888
gaun22p1       machine=gauntlet         XRGB8888
gaun22pg       machine=gauntlet         XRGB8888
gaun2pg1       machine=gauntlet         XRGB8888
gaun2pj2       machine=gauntlet         XRGB8888
gaun2pr3       machine=gauntlet         XRGB8888
gaunt2         machine=gauntlet         XRGB8888
gaunt22p       machine=gauntlet         XRGB8888
gaunt2g        machine=gauntlet         XRGB8888
gaunt2p        machine=gauntlet         XRGB8888
gaunt2pg       machine=gauntlet         XRGB8888
gaunt2pj       machine=gauntlet         XRGB8888
gauntg         machine=gauntlet         XRGB8888
gauntgr3       machine=gauntlet         XRGB8888
gauntgr6       machine=gauntlet         XRGB8888
gauntgr8       machine=gauntlet         XRGB8888
gauntj         machine=gauntlet         XRGB8888
gauntj12       machine=gauntlet         XRGB8888
gauntlet       machine=gauntlet         XRGB8888
gauntr1        machine=gauntlet         XRGB8888
gauntr2        machine=gauntlet         XRGB8888
gauntr4        machine=gauntlet         XRGB8888
gauntr5        machine=gauntlet         XRGB8888
gauntr7        machine=gauntlet         XRGB8888
gauntr9        machine=gauntlet         XRGB8888
gaunts         machine=gauntlet         XRGB8888
ghouls         machine=cps1             XRGB8888
ghoulsu        machine=cps1             XRGB8888
gigawing       machine=cps2             XRGB8888
gijoe          machine=gijoe            XRGB8888
gijoej         machine=gijoe            XRGB8888
gijoeu         machine=gijoe            XRGB8888
gmahou         machine=cps2             XRGB8888
gollygho       machine=gollygho         XRGB8888
gratia         machine=ms32             XRGB8888
gratiaa        machine=ms32             XRGB8888
groundfx       machine=groundfx         XRGB8888
guardian       machine=atarig42         XRGB8888
gunbustr       machine=gunbustr         XRGB8888
gwingj         machine=cps2             XRGB8888
harddrb5       machine=harddriv         XRGB8888
harddrb6       machine=harddriv         XRGB8888
harddrc1       machine=harddrvc         XRGB8888
harddrcb       machine=harddrvc         XRGB8888
harddrcg       machine=harddrvc         XRGB8888
harddrg4       machine=harddriv         XRGB8888
harddriv       machine=harddriv         XRGB8888
harddrj6       machine=harddriv         XRGB8888
harddrv1       machine=harddriv         XRGB8888
harddrv2       machine=harddriv         XRGB8888
harddrv3       machine=harddriv         XRGB8888
harddrvb       machine=harddriv         XRGB8888
harddrvc       machine=harddrvc         XRGB8888
harddrvg       machine=harddriv         XRGB8888
harddrvj       machine=harddriv         XRGB8888
hayaosi1       machine=ms32             XRGB8888
hbarrel        machine=hbarrel          XRGB8888
hbarrelw       machine=hbarrel          XRGB8888
hdrivaip       machine=hdrivair         XRGB8888
hdrivair       machine=hdrivair         XRGB8888
hgkairak       machine=ps4big           XRGB8888
hippodrm       machine=hippodrm         XRGB8888
hotdebut       machine=ps4small         XRGB8888
hotgmck        machine=ps4big           XRGB8888
hotgmck3       machine=ps4big           XRGB8888
housemn2       machine=mbmj_p16bit_LCD  XRGB8888
housemnq       machine=mbmj_p16bit_LCD  XRGB8888
hydra          machine=atarig1          XRGB8888
hydrap         machine=atarig1          XRGB8888
hydrap2        machine=atarig1          XRGB8888
hyhoo          machine=hyhoo            XRGB8888
hyhoo2         machine=hyhoo            XRGB8888
iemoto         machine=iemoto           XRGB8888
indytem2       machine=atarisy1         XRGB8888
indytem3       machine=atarisy1         XRGB8888
indytem4       machine=atarisy1         XRGB8888
indytemd       machine=atarisy1         XRGB8888
indytemp       machine=atarisy1         XRGB8888
joemac         machine=cninja           XRGB8888
kirarast       machine=ms32             XRGB8888
klax           machine=klax             XRGB8888
klax2          machine=klax             XRGB8888
klax3          machine=klax             XRGB8888
klaxd          machine=klax             XRGB8888
klaxj          machine=klax             XRGB8888
klaxp1         machine=klaxp            XRGB8888
klaxp2         machine=klaxp            XRGB8888
knights        machine=cps1             XRGB8888
knightsj       machine=cps1             XRGB8888
knightsu       machine=cps1             XRGB8888
kod            machine=cps1             XRGB8888
kodb           machine=cps1             XRGB8888
kodj           machine=cps1             XRGB8888
kodu           machine=cps1             XRGB8888
korinai        machine=ojousan          XRGB8888
kuhga          machine=vaportra         XRGB8888
kyukaidk       machine=default          XRGB8888
kyukaido       machine=default          XRGB8888
lastduel       machine=lastduel         XRGB8888
ledstorm       machine=madgear          XRGB8888
lemmings       machine=lemmings         XRGB8888
loderdfa       machine=ps4small         XRGB8888
loderndf       machine=ps4small         XRGB8888
lostwrld       machine=forgottn         XRGB8888
lstduela       machine=lastduel         XRGB8888
lstduelb       machine=lastduel         XRGB8888
macrossp       machine=macrossp         XRGB8888
madgear        machine=madgear          XRGB8888
madgearj       machine=madgear          XRGB8888
marble         machine=atarisy1         XRGB8888
marble2        machine=atarisy1         XRGB8888
marble3        machine=atarisy1         XRGB8888
marble4        machine=atarisy1         XRGB8888
marvland       machine=default          XRGB8888
marvlanj       machine=default          XRGB8888
mbomberj       machine=qsound           XRGB8888
mbombrd        machine=qsound           XRGB8888
mbombrdj       machine=qsound           XRGB8888
megaman        machine=cps1             XRGB8888
megaman2       machine=cps2             XRGB8888
megamn2a       machine=cps2             XRGB8888
mercs          machine=cps1             XRGB8888
mercsj         machine=cps1             XRGB8888
mercsu         machine=cps1             XRGB8888
mercsua        machine=cps1             XRGB8888
metlhawk       machine=metlhawk         XRGB8888
minefld        machine=minefld          XRGB8888
mirninja       machine=default          XRGB8888
mmatrix        machine=cps2             XRGB8888
mmatrixj       machine=cps2             XRGB8888
mmaze          machine=ns1              XRGB8888
motofren       machine=atarigx2         XRGB8888
mpangj         machine=cps2             XRGB8888
msh            machine=cps2             XRGB8888
msha           machine=cps2             XRGB8888
mshb           machine=cps2             XRGB8888
mshh           machine=cps2             XRGB8888
mshj           machine=cps2             XRGB8888
mshu           machine=cps2             XRGB8888
mshvsf         machine=cps2             XRGB8888
mshvsfa        machine=cps2             XRGB8888
mshvsfa1       machine=cps2             XRGB8888
mshvsfb        machine=cps2             XRGB8888
mshvsfb1       machine=cps2             XRGB8888
mshvsfh        machine=cps2             XRGB8888
mshvsfj        machine=cps2             XRGB8888
mshvsfj1       machine=cps2             XRGB8888
mshvsfj2       machine=cps2             XRGB8888
mshvsfu1       machine=cps2             XRGB8888
msword         machine=cps1             XRGB8888
mswordj        machine=cps1             XRGB8888
mswordr1       machine=cps1             XRGB8888
mswordu        machine=cps1             XRGB8888
mtwins         machine=cps1             XRGB8888
mvsc           machine=cps2             XRGB8888
mvsca          machine=cps2             XRGB8888
mvsch          machine=cps2             XRGB8888
mvscj          machine=cps2             XRGB8888
mvscjr1        machine=cps2             XRGB8888
ncv1           machine=namcond1         XRGB8888
ncv1j          machine=namcond1         XRGB8888
ncv1j2         machine=namcond1         XRGB8888
ncv2           machine=namcond1         XRGB8888
ncv2j          machine=namcond1         XRGB8888
nemo           machine=cps1             XRGB8888
nemoj          machine=cps1             XRGB8888
nwarr          machine=cps2             XRGB8888
nwarrb         machine=cps2             XRGB8888
nwarrh         machine=cps2             XRGB8888
offtwalc       machine=offtwall         XRGB8888
offtwall       machine=offtwall         XRGB8888
ojousan        machine=ojousan          XRGB8888
opwolf3        machine=opwolf3          XRGB8888
opwolf3u       machine=opwolf3          XRGB8888
orangec        machine=mbmj_p16bit      XRGB8888
ordyne         machine=default          XRGB8888
p47aces        machine=ms32             XRGB8888
pacmania       machine=ns1              XRGB8888
pacmanij       machine=ns1              XRGB8888
pang3          machine=pang3            XRGB8888
pang3j         machine=pang3            XRGB8888
paperboy       machine=atarisy2         XRGB8888
paperbr1       machine=atarisy2         XRGB8888
paperbr2       machine=atarisy2         XRGB8888
paradise       machine=paradise         XRGB8888
peterpak       machine=atarisy1         XRGB8888
pfghtj         machine=cps2             XRGB8888
pgear          machine=cps2             XRGB8888
pgearr1        machine=cps2             XRGB8888
phelios        machine=default          XRGB8888
pistoldm       machine=ns1              XRGB8888
pitfigh3       machine=atarig1          XRGB8888
pitfighb       machine=atarig1          XRGB8888
pitfighj       machine=atarig1          XRGB8888
pitfight       machine=atarig1          XRGB8888
plygonet       machine=plygonet         XRGB8888
pnickj         machine=cps1             XRGB8888
punisher       machine=qsound           XRGB8888
punishrj       machine=qsound           XRGB8888
punishru       machine=qsound           XRGB8888
puzlclub       machine=ns1              XRGB8888
qad            machine=cps1             XRGB8888
qadj           machine=cps1             XRGB8888
qndream        machine=cps2             XRGB8888
qtono2         machine=cps1             XRGB8888
quester        machine=quester          XRGB8888
quizmoon       machine=quizmoon         XRGB8888
racedcb4       machine=racedrvc         XRGB8888
racedcg4       machine=racedrvc         XRGB8888
racedrb1       machine=racedriv         XRGB8888
racedrb4       machine=racedriv         XRGB8888
racedrc1       machine=racedrvc         XRGB8888
racedrc2       machine=racedrvc         XRGB8888
racedrc4       machine=racedrvc         XRGB8888
racedrcb       machine=racedrvc         XRGB8888
racedrcg       machine=racedrvc         XRGB8888
racedrg1       machine=racedriv         XRGB8888
racedrg4       machine=racedriv         XRGB8888
racedriv       machine=racedriv         XRGB8888
racedrv1       machine=racedriv         XRGB8888
racedrv2       machine=racedriv         XRGB8888
racedrv3       machine=racedriv         XRGB8888
racedrv4       machine=racedriv         XRGB8888
racedrvb       machine=racedriv         XRGB8888
racedrvc       machine=racedrvc         XRGB8888
racedrvg       machine=racedriv         XRGB8888
rampart        machine=rampart          XRGB8888
rampartj       machine=rampart          XRGB8888
ramprt2p       machine=rampart          XRGB8888
rckman2j       machine=cps2             XRGB8888
relief         machine=relief           XRGB8888
relief2        machine=relief           XRGB8888
rescue         machine=rescue           XRGB8888
ringdest       machine=cps2             XRGB8888
roadblc1       machine=atarisy1         XRGB8888
roadblcg       machine=atarisy1         XRGB8888
roadblg1       machine=atarisy1         XRGB8888
roadblg2       machine=atarisy1         XRGB8888
roadbls1       machine=atarisy1         XRGB8888
roadbls2       machine=atarisy1         XRGB8888
roadbls3       machine=atarisy1         XRGB8888
roadblsc       machine=atarisy1         XRGB8888
roadblsg       machine=atarisy1         XRGB8888
roadblst       machine=atarisy1         XRGB8888
roadriot       machine=atarig42         XRGB8888
roadrun1       machine=atarisy1         XRGB8888
roadrun2       machine=atarisy1         XRGB8888
roadrunn       machine=atarisy1         XRGB8888
robocop        machine=robocop          XRGB8888
robocop2       machine=robocop2         XRGB8888
robocopb       machine=robocopb         XRGB8888
robocopj       machine=robocop          XRGB8888
robocopu       machine=robocop          XRGB8888
robocopw       machine=robocop          XRGB8888
robocp2j       machine=robocop2         XRGB8888
robocp2u       machine=robocop2         XRGB8888
robocpu0       machine=robocop          XRGB8888
rockmanj       machine=cps1             XRGB8888
rohga          machine=rohga            XRGB8888
rohgah         machine=rohga            XRGB8888
rohgau         machine=rohga            XRGB8888
rompers        machine=ns1              XRGB8888
romperso       machine=ns1              XRGB8888
rrreveng       machine=atarigx2         XRGB8888
rrrevenp       machine=atarigx2         XRGB8888
rthun2         machine=default          XRGB8888
rthun2j        machine=default          XRGB8888
seiha          machine=seiha            XRGB8888
seiham         machine=seiha            XRGB8888
sf2            machine=sf2              XRGB8888
sf2accp2       machine=sf2              XRGB8888
sf2ce          machine=sf2              XRGB8888
sf2cej         machine=sf2              XRGB8888
sf2ceua        machine=sf2              XRGB8888
sf2ceub        machine=sf2              XRGB8888
sf2ceuc        machine=sf2              XRGB8888
sf2eb          machine=sf2              XRGB8888
sf2j           machine=sf2              XRGB8888
sf2ja          machine=sf2              XRGB8888
sf2jc          machine=sf2              XRGB8888
sf2koryu       machine=sf2              XRGB8888
sf2m1          machine=sf2              XRGB8888
sf2m2          machine=sf2              XRGB8888
sf2m3          machine=sf2              XRGB8888
sf2m4          machine=sf2              XRGB8888
sf2m5          machine=sf2              XRGB8888
sf2m6          machine=sf2              XRGB8888
sf2m7          machine=sf2              XRGB8888
sf2rb          machine=sf2              XRGB8888
sf2rb2         machine=sf2              XRGB8888
sf2red         machine=sf2              XRGB8888
sf2t           machine=sf2              XRGB8888
sf2tj          machine=sf2              XRGB8888
sf2ua          machine=sf2              XRGB8888
sf2ub          machine=sf2              XRGB8888
sf2ud          machine=sf2              XRGB8888
sf2ue          machine=sf2              XRGB8888
sf2uf          machine=sf2              XRGB8888
sf2ui          machine=sf2              XRGB8888
sf2uk          machine=sf2              XRGB8888
sf2v004        machine=sf2              XRGB8888
sf2yyc         machine=sf2              XRGB8888
sfa            machine=cps2             XRGB8888
sfa2           machine=cps2             XRGB8888
sfa3           machine=cps2             XRGB8888
sfa3r1         machine=cps2             XRGB8888
sfar1          machine=cps2             XRGB8888
sfar2          machine=cps2             XRGB8888
sfau           machine=cps2             XRGB8888
sfz2a          machine=cps2             XRGB8888
sfz2aa         machine=cps2             XRGB8888
sfz2ab         machine=cps2             XRGB8888
sfz2ah         machine=cps2             XRGB8888
sfz2aj         machine=cps2             XRGB8888
sfz2b          machine=cps2             XRGB8888
sfz2br1        machine=cps2             XRGB8888
sfz2j          machine=cps2             XRGB8888
sfz3a          machine=cps2             XRGB8888
sfz3j          machine=cps2             XRGB8888
sfz3jr1        machine=cps2             XRGB8888
sfzb           machine=cps2             XRGB8888
sfzh           machine=cps2             XRGB8888
sfzj           machine=cps2             XRGB8888
sfzjr1         machine=cps2             XRGB8888
sfzjr2         machine=cps2             XRGB8888
sgemf          machine=cps2             XRGB8888
sgemfa         machine=cps2             XRGB8888
sgemfh         machine=cps2             XRGB8888
sgunner        machine=sgunner          XRGB8888
sgunner2       machine=sgunner          XRGB8888
sgunnr2j       machine=sgunner          XRGB8888
shadowld       machine=ns1              XRGB8888
shuuz          machine=shuuz            XRGB8888
shuuz2         machine=shuuz            XRGB8888
skullxb1       machine=skullxbo         XRGB8888
skullxb2       machine=skullxbo         XRGB8888
skullxb3       machine=skullxbo         XRGB8888
skullxb4       machine=skullxbo         XRGB8888
skullxbo       machine=skullxbo         XRGB8888
slammast       machine=qsound           XRGB8888
slammasu       machine=qsound           XRGB8888
slapshot       machine=slapshot         XRGB8888
slmdunkj       machine=rng              XRGB8888
smbomb         machine=cps2             XRGB8888
smbombr1       machine=cps2             XRGB8888
solvalou       machine=poly_c140_typeA  XRGB8888
soukobdx       machine=ns1              XRGB8888
sparkz         machine=arcadecl         XRGB8888
spclorda       machine=atarigx2         XRGB8888
spclords       machine=atarigx2         XRGB8888
spf2t          machine=cps2             XRGB8888
spf2xj         machine=cps2             XRGB8888
splatter       machine=ns1              XRGB8888
ssf2           machine=cps2             XRGB8888
ssf2a          machine=cps2             XRGB8888
ssf2ar1        machine=cps2             XRGB8888
ssf2j          machine=cps2             XRGB8888
ssf2jr1        machine=cps2             XRGB8888
ssf2jr2        machine=cps2             XRGB8888
ssf2t          machine=cps2             XRGB8888
ssf2ta         machine=cps2             XRGB8888
ssf2tb         machine=cps2             XRGB8888
ssf2tbj        machine=cps2             XRGB8888
ssf2tu         machine=cps2             XRGB8888
ssf2tur1       machine=cps2             XRGB8888
ssf2u          machine=cps2             XRGB8888
ssf2xj         machine=cps2             XRGB8888
sspring1       machine=sprint           XRGB8888
ssprint        machine=sprint           XRGB8888
ssprint1       machine=sprint           XRGB8888
ssprint3       machine=sprint           XRGB8888
