mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
stocker        machine=balsente         
stompin        machine=balsente         
stoneba2       machine=stonebal         
stonebal       machine=stonebal         
storming       machine=lsasquad         
strahl         machine=strahl           
strahla        machine=strahl           
stratab        machine=tmshi2203        
stratab1       machine=tmshi2203        
stratgys       machine=stratgyx         
stratgyx       machine=stratgyx         
stratof        machine=raiga            
stratvox       machine=stratvox         
strhoop        machine=neogeo           
strider2       machine=znqsound         
stridr2a       machine=znqsound         
strkforc       machine=strkforc         
strnskil       machine=strnskil         
strvmstr       machine=strvmstr         
stunrn2e       machine=stunrun          
stunrn3e       machine=stunrun          
stunrun        machine=stunrun          
stunrun0       machine=stunrun          
stunrun2       machine=stunrun          
stunrun3       machine=stunrun          
stunrun4       machine=stunrun          
stunrun5       machine=stunrun          
stunrune       machine=stunrun          
stunrunj       machine=stunrun          
stunrunp       machine=stunrun          
subs           machine=subs             
sucasino       machine=jack             
sunsetbl       machine=ssridersbl       
supdrapo       machine=supdrapo         
superbik       machine=cvs              
superbon       machine=type1            
superbug       machine=superbug         
superchs       machine=superchs         
superman       machine=superman         
superqix       machine=superqix         
superspy       machine=neogeo           
supertnk       machine=supertnk         
supertr2       machine=supertr2         
suprglob       machine=epos             
suprloco       machine=suprloco         
suprmatk       machine=missile          
suprmous       machine=suprmous         
suprmrio       machine=vsnes            
suprslam       machine=suprslam         
supxevs        machine=vsnes            
survarts       machine=survarts         
survival       machine=survival         
sutapper       machine=mcr3_ssio        
suzume         machine=suzume           
svf            machine=system32         
svolly91       machine=pspikes          
svs            machine=system32         
swat           machine=system1          
swimmer        machine=swimmer          
swimmera       machine=swimmer          
swimmerb       machine=swimmer          
sws95          machine=namconb1         
sws96          machine=namconb1         
sws97          machine=namconb1         
sws99          machine=coh700           
sxyreact       machine=sxyreact         
syvalion       machine=syvalion         
tactcan2       machine=tactcian         
tactcian       machine=tactcian         
tagteam        machine=tagteam          
tail2nos       machine=tail2nos         
tailg          machine=cinemat          
taitofx1       machine=fx1b             
tankbust       machine=tankbust         
tantr          machine=segac2           
tantrbl        machine=segac2           
tantrbl2       machine=segac            
taotaida       machine=taotaido         
taotaido       machine=taotaido         
tapper         machine=mcr3_ssio        
tappera        machine=mcr3_ssio        
targeth        machine=targeth          
tattass        machine=tattass          
tattassa       machine=tattass          
taxidrvr       machine=taxidrvr         
tazmani2       machine=type2            
tazmania       machine=type1            
tbyahhoo       machine=konamigx         
tdragon        machine=tdragon          
tdragon2       machine=tdragon2         
tdragonb       machine=tdragonb         
techromn       machine=znqsound         
teddybb        machine=system1          
teddybbo       machine=system1          
teedoff        machine=teedoff          
tehkanwc       machine=tehkanwc         
tekken         machine=coh100_tekken    
tekken2        machine=coh100_tekken    
tekken2a       machine=coh100_tekken    
tekken2b       machine=coh100_tekken    
tekken3        machine=coh700           
tekkena        machine=coh100_tekken    
tekkenb        machine=coh100_tekken    
tekkentt       machine=coh700           
teljan         machine=skns             
tempest        machine=tempest          
tempest1       machine=tempest          
tempest2       machine=tempest          
tempest3       machine=tempest          
temptube       machine=tempest          
tengai         machine=s1945            
teplus2j       machine=tetrisp2         
terracra       machine=ym2203           
tetrisp        machine=ms32             
tetrisp2       machine=tetrisp2         
tetrist        machine=tetrist          
tfrceac        machine=segac2           
tfrceacb       machine=segac2           
tfrceacj       machine=segac2           
tgmj           machine=znqsound         
tgtball        machine=paradise         
tharierj       machine=tharrier         
tharrier       machine=tharrier         
thedeep        machine=thedeep          
theend         machine=theend           
theends        machine=theend           
theglob        machine=epos             
theglob2       machine=epos             
theglob3       machine=epos             
themj          machine=themj            
thepit         machine=thepit           
thetogyu       machine=system1          
thndfoxj       machine=thundfox         
thndfoxu       machine=thundfox         
thoop2         machine=thoop2           
thunderj       machine=thunderj         
thunderl       machine=thunderl         
thundfox       machine=thundfox         
tickee         machine=tickee           
tigerh         machine=tigerh           
tigerh2        machine=tigerh           
tigerhb1       machine=tigerhb          
tigerhb2       machine=tigerhb          
tigerhj        machine=tigerh           
tigeroad       machine=tigeroad         
timber         machine=mcr3_ssio        
timecris       machine=namcos22s        
timecrsa       machine=namcos22s        
timek131       machine=timekill         
timekill       machine=timekill         
timelimt       machine=timelimt         
timeplt        machine=timeplt          
timepltc       machine=timeplt          
timetunl       machine=nomcu            
tinstar        machine=mcu              
tinv2650       machine=tinvader         
titlef         machine=multi32          
tkmmpzdm       machine=konamigx_6bpp    
tknight        machine=shadoww          
tkoboxng       machine=vsnes            
tmek           machine=atarigt          
tmekprot       machine=atarigt          
tmmjprd        machine=rabbit           
tnzs           machine=tnzs             
tnzs2          machine=tnzs             
tnzsb          machine=tnzsb            
toggle         machine=balsente         
toki           machine=toki             
tokia          machine=toki             
tokij          machine=toki             
tokio          machine=tokio            
tokiob         machine=tokio            
tokisens       machine=wbml             
tokiu          machine=toki             
tokkae         machine=konamigx_6bpp    
tondemo        machine=zn               
tontonb        machine=tontonb          
toobin         machine=toobin           
toobin1        machine=toobin           
toobin2        machine=toobin           
toobin2e       machine=toobin           
toobine        machine=toobin           
toobing        machine=toobin           
topgun         machine=vsnes            
tophuntr       machine=neogeo           
topland        machine=airsys           
toramich       machine=toramich         
toratora       machine=toratora         
toride2g       machine=toride2g         
tornbase       machine=8080bw           
tourtab2       machine=tourtabl         
tourtabl       machine=tourtabl         
tp2m32         machine=ms32             
tp84           machine=tp84             
tp84a          machine=tp84             
tpgolf         machine=neogeo           
tps            machine=zn               
trally         machine=neogeo           
tranqgun       machine=4ports           
transfrm       machine=segae            
travrusa       machine=travrusa         
treahunt       machine=jack             
tricktrp       machine=labyrunr         
triplep        machine=triplep          
triplfun       machine=triplfun         
triplhnt       machine=triplhnt         
tripool        machine=tripool          
tripoola       machine=tripool          
trisport       machine=trisport         
triviabb       machine=balsente         
triviag1       machine=balsente         
triviag2       machine=balsente         
triviasp       machine=balsente         
triviayp       machine=balsente         
trivquiz       machine=trivquiz         
troangel       machine=troangel         
trojan         machine=trojan           
trojanj        machine=trojan           
trojanr        machine=trojan           
tron           machine=mcr2             
tron2          machine=mcr2             
trstar         machine=f3               
trstarj        machine=f3               
trstaro        machine=f3               
trstaroj       machine=f3               
truco          machine=truco            
tryout         machine=tryout           
ts2            machine=znqsound         
ts2j           machine=znqsound         
tsamura2       machine=tsamurai         
tsamurai       machine=tsamurai         
tshoot         machine=williams2        
ttmahjng       machine=ttmahjng         
tubeit         machine=cachat           
tubep          machine=tubep            
tugboat        machine=tugboat          
tumblep2       machine=tumblepb         
tumblepb       machine=tumblepb         
tunhunt        machine=tunhunt          
tunhuntc       machine=tunhunt          
turbofrc       machine=turbofrc         
turbotag       machine=turbotag         
turfmast       machine=neogeo           
turpin         machine=amidar           
turtles        machine=amidar           
turtship       machine=turtship         
tutankhm       machine=tutankhm         
tutankst       machine=tutankhm         
twineag2       machine=twineag2         
twineagl       machine=twineagl         
twinqix        machine=f3_224a          
twinspri       machine=neogeo           
twotiger       machine=mcr2             
twotigra       machine=twotigra         
tws96          machine=neogeo           
uecology       machine=cps2             
ufosensi       machine=chplft           
ultennis       machine=artmagic         
ultratnk       machine=ultratnk         
ultrax         machine=ultrax           
umanclub       machine=umanclub         
undoukai       machine=undoukai         
undrfire       machine=undrfire         
undrfirj       machine=undrfire         
undrfiru       machine=undrfire         
untoucha       machine=untoucha         
uopoko         machine=uopoko           
upndown        machine=system1          
upndownu       machine=system1          
urashima       machine=urashima         
usclssic       machine=usclssic         
usg185         machine=usg185           
usg252         machine=usg185           
usg32          machine=usg              
usg82          machine=usg              
usg83          machine=usg              
usg83x         machine=usg              
usvsthem       machine=usvsthem         
utoukond       machine=utoukond         
valtric        machine=valtric          
vamphalf       machine=vamphalf         
vampj          machine=cps2             
vampja         machine=cps2             
vampjr1        machine=cps2             
vandyjal       machine=vandyke          
vandyke        machine=vandyke          
vasara         machine=ryorioh          
vastar         machine=vastar           
vastar2        machine=vastar           
vblokbrk       machine=skns             
vcircle        machine=cojagr3k         
venus          machine=gyruss           
vgoalsca       machine=gstriker         
vgoalsoc       machine=gstriker         
vhunt2         machine=cps2             
vhunt2r1       machine=cps2             
vhuntj         machine=cps2             
vhuntjr1       machine=cps2             
victlapw       machine=namcos22         
videopin       machine=videopin         
viewpoin       machine=neogeo           
vindice3       machine=vindictr         
vindice4       machine=vindictr         
vindict1       machine=vindictr         
vindict2       machine=vindictr         
vindict4       machine=vindictr         
vindicte       machine=vindictr         
vindictg       machine=vindictr         
vindictr       machine=vindictr         
viofight       machine=viofight         
viostrmu       machine=viostorm         
vipclub        machine=mbmj_p16bit      
vitaminc       machine=pteacher         
volfied        machine=volfied          
volfiedj       machine=volfied          
volfiedu       machine=volfied          
vsav           machine=cps2             
vsav2          machine=cps2             
vsava          machine=cps2             
vsavh          machine=cps2             
vsavj          machine=cps2             
vsavu          machine=cps2             
vsbbalja       machine=vsdual           
vsbbaljb       machine=vsdual           
vsbball        machine=vsdual           
vsbballj       machine=vsdual           
vsfdf          machine=vsnes            
vsgongf        machine=vsgongf          
vsgradus       machine=vsnes            
vsgshoe        machine=vsnes            
vshoot         machine=namconb1         
vsmahjng       machine=vsdual           
vsnetscr       machine=gxtype4          
vspinbal       machine=vsnes            
vspinblj       machine=vsnes            
vsskykid       machine=vsnes            
vsslalom       machine=vsnes            
vssoccer       machine=vsnes            
vstennis       machine=vsdual           
vstetris       machine=vsnes            
vsyard         machine=yard             
vsyard2        machine=yard             
vulgus         machine=vulgus           
vulgus2        machine=vulgus           
vulgusj        machine=vulgus           
wacko          machine=mcr2             
wakuwak7       machine=neogeo           
wallc          machine=wallc            
wallst         machine=cvs              
wanted         machine=wanted           
wargods        machine=midvplus         
warlords       machine=warlords         
warriorb       machine=warriorb         
waterski       machine=nomcu            
wbdeluxe       machine=system1          
wbeachvl       machine=wbeachvl         
wbml           machine=wbml             
wbmlb          machine=wbml             
wbmljb         machine=wbml             
wbmljo         machine=wbml             
wboy           machine=system1          
wboy2          machine=system1          
wboy2u         machine=system1          
wboy3          machine=system1          
wboyo          machine=system1          
wboyu          machine=system1          
wc90           machine=wc90             
wc90a          machine=wc90             
wc90b          machine=wc90b            
wc90t          machine=wc90t            
wcbowl         machine=sftm             
wcbwl12        machine=wcbowl           
wcbwl161       machine=sftm             
wcbwl165       machine=sftm             
welltris       machine=welltris         
weststry       machine=weststry         
wfortuna       machine=tmshi2203        
wfortune       machine=tmshi2203        
wg3dh          machine=seattle150       
wgp            machine=wgp              
wgp2           machine=wgp2             
wgpj           machine=wgp              
wgpjoy         machine=wgp              
wgpjoya        machine=wgp              
wh1            machine=neogeo           
wh1h           machine=neogeo           
wh2            machine=neogeo           
wh2j           machine=neogeo           
whizz          machine=whizz            
whp            machine=neogeo           
wildfang       machine=shadoww          
wilytowr       machine=wilytowr         
winspike       machine=winspike         
wiseguy        machine=gundealr         
wits           machine=wits             
wiz            machine=wiz              
wizt           machine=wiz              
wjammers       machine=neogeo           
wmatch         machine=small            
wolfpack       machine=wolfpack         
worldc94       machine=gstriker         
wotw           machine=cincolor         
wrally         machine=wrally           
wrallya        machine=wrally           
wrecking       machine=vsdual           
wrofaero       machine=wrofaero         
wtennis        machine=wtennis          
wwester1       machine=nomcu            
wwestern       machine=nomcu            
wwjgtin        machine=wwjgtin          
xenophob       machine=xenophob         
xevi3dg        machine=coh110_danceyes  
xfiles         machine=xfiles           
xmcota         machine=cps2             
xmcotaa        machine=cps2             
xmcotah        machine=cps2             
xmcotaj        machine=cps2             
xmcotaj1       machine=cps2             
xmcotajr       machine=cps2             
xmcotau        machine=cps2             
xmvsf          machine=cps2             
xmvsfa         machine=cps2             
xmvsfb         machine=cps2             
xmvsfh         machine=cps2             
xmvsfj         machine=cps2             
xmvsfjr1       machine=cps2             
xmvsfjr2       machine=cps2             
xmvsfu         machine=cps2             
xmvsfur1       machine=cps2             
xorworld       machine=xorworld         
xsleena        machine=xsleena          
xsleenab       machine=xsleena          
xxmissio       machine=xxmissio         
xybots         machine=xybots           
xybots0        machine=xybots           
xybots1        machine=xybots           
xybotsf        machine=xybots           
xybotsg        machine=xybots           
xyonix         machine=xyonix           
yamagchi       machine=tsamurai         
yamato         machine=yamato           
yamato2        machine=yamato           
yamyam         machine=gundealr         
yanchamr       machine=kidniki          
yankeedo       machine=mrdo             
yard           machine=yard             
yesnoj         machine=yesnoj           
yosakdon       machine=yosakdon         
youjyudn       machine=youjyudn         
yumefuda       machine=yumefuda         
yuyugogo       machine=yuyugogo         
zaryavos       machine=intrepid         
zaviga         machine=bwing            
zavigaj        machine=bwing            
zedblade       machine=neogeo           
zerohour       machine=zerohour         
zerozone       machine=zerozone         
zigzag         machine=zigzag           
zigzag2        machine=zigzag           
zingzip        machine=zingzip          
zoar           machine=zoar             
zodiack        machine=zodiack          
zombraid       machine=gundhara         
zunkyou        machine=segac2           
zwackery       machine=zwackery         
zzyzzyx2       machine=jack             
zzyzzyxx       machine=jack             

######################################################################
# MULTI - >=2 rates, follows hint   (115 games)
######################################################################
aircombj       machine=poly_c140_typeB  C140|YM2151
aircombu       machine=poly_c140_typeB  C140|YM2151
alice          machine=ns1              NAMCO|YM2151
assault        machine=default          C140|YM2151
assaultj       machine=default          C140|YM2151
assaultp       machine=default          C140|YM2151
bakutotu       machine=bakutotu         NAMCO|YM2151
berabohm       machine=ns1              NAMCO|YM2151
beraboho       machine=ns1              NAMCO|YM2151
bermudaa       machine=bermudat         Y8950|YM3526
bermudao       machine=bermudat         Y8950|YM3526
bermudat       machine=bermudat         Y8950|YM3526
blastoff       machine=ns1              NAMCO|YM2151
blazer         machine=ns1              NAMCO|YM2151
boxyboy        machine=ns1              NAMCO|YM2151
burnforc       machine=default          C140|YM2151
chopper        machine=chopper1         Y8950|YM3812
choppera       machine=chopper1         Y8950|YM3812
chopperb       machine=chopper1         Y8950|YM3812
cosmogng       machine=default          C140|YM2151
cosmognj       machine=default          C140|YM2151
cybsled        machine=poly_c140_typeA  C140|YM2151
dangseed       machine=ns1              NAMCO|YM2151
dirtfoxj       machine=default          C140|YM2151
dogosoke       machine=victroad         Y8950|YM3526
dsaber         machine=default          C140|YM2151
dsaberj        machine=default          C140|YM2151
dspirit        machine=ns1              NAMCO|YM2151
dspirito       machine=ns1              NAMCO|YM2151
faceoff        machine=faceoff          NAMCO|YM2151
finalap2       machine=finallap         C140|YM2151
finalap3       machine=finallap         C140|YM2151
finalapc       machine=finallap         C140|YM2151
finalapd       machine=finallap         C140|YM2151
finallap       machine=finallap         C140|YM2151
finalp2j       machine=finallap         C140|YM2151
finalp3a       machine=finallap         C140|YM2151
finehour       machine=default          C140|YM2151
finlapjb       machine=finallap         C140|YM2151
finlapjc       machine=finallap         C140|YM2151
fourtrax       machine=finallap         C140|YM2151
galag88b       machine=ns1              NAMCO|YM2151
galag88j       machine=ns1              NAMCO|YM2151
galaga88       machine=ns1              NAMCO|YM2151
genpeitd       machine=genpeitd         NAMCO|YM2151
gollygho       machine=gollygho         C140|YM2151
gwar           machine=gwar             Y8950|YM3526
gwara          machine=gwar             Y8950|YM3526
gwarb          machine=gwar             Y8950|YM3526
gwarj          machine=gwar             Y8950|YM3526
hopmappy       machine=hopmappy         NAMCO|YM2151
kyukaidk       machine=default          C140|YM2151
kyukaido       machine=default          C140|YM2151
legofair       machine=chopper1         Y8950|YM3812
lifefrce       machine=salamand         VLM5030|YM2151
lifefrcj       machine=salamand         VLM5030|YM2151
marvland       machine=default          C140|YM2151
marvlanj       machine=default          C140|YM2151
metlhawk       machine=metlhawk         C140|YM2151
mirninja       machine=default          C140|YM2151
mmaze          machine=ns1              NAMCO|YM2151
ordyne         machine=default          C140|YM2151
pacmania       machine=ns1              NAMCO|YM2151
pacmanij       machine=ns1              NAMCO|YM2151
phelios        machine=default          C140|YM2151
pistoldm       machine=ns1              NAMCO|YM2151
psychos        machine=psychos          Y8950|YM3526
psychosj       machine=psychos          Y8950|YM3526
puzlclub       machine=ns1              NAMCO|YM2151
quester        machine=quester          NAMCO|YM2151
rockrage       machine=rockrage         VLM5030|YM2151
rockragj       machine=rockrage         VLM5030|YM2151
roishtar       machine=roishtar         NAMCO|YM2151
rompers        machine=ns1              NAMCO|YM2151
romperso       machine=ns1              NAMCO|YM2151
rthun2         machine=default          C140|YM2151
rthun2j        machine=default          C140|YM2151
rthunder       machine=rthunder         NAMCO|YM2151
rthundro       machine=rthunder         NAMCO|YM2151
salamand       machine=salamand         VLM5030|YM2151
salamanj       machine=salamand         VLM5030|YM2151
sgunner        machine=sgunner          C140|YM2151
sgunner2       machine=sgunner          C140|YM2151
sgunnr2j       machine=sgunner          C140|YM2151
shadowld       machine=ns1              NAMCO|YM2151
skykiddo       machine=skykiddx         NAMCO|YM2151
skykiddx       machine=skykiddx         NAMCO|YM2151
solvalou       machine=poly_c140_typeA  C140|YM2151
soukobdx       machine=ns1              NAMCO|YM2151
splatter       machine=ns1              NAMCO|YM2151
starblad       machine=poly_c140_typeA  C140|YM2151
suzuk8h2       machine=luckywld         C140|YM2151
suzuk8hj       machine=luckywld         C140|YM2151
suzuka8h       machine=luckywld         C140|YM2151
sws92          machine=default          C140|YM2151
sws92g         machine=default          C140|YM2151
sws93          machine=default          C140|YM2151
tankfrce       machine=ns1              NAMCO|YM2151
tankfrcj       machine=ns1              NAMCO|YM2151
tceptor        machine=tceptor          NAMCO|YM2151
tceptor2       machine=tceptor          NAMCO|YM2151
tdfever        machine=tdfever          Y8950|YM3526
tdfever2       machine=tdfever2         Y8950|YM3526
tdfeverj       machine=tdfever          Y8950|YM3526
valkyrie       machine=default          C140|YM2151
victroad       machine=victroad         Y8950|YM3526
winrun91       machine=poly_c140_typeB  C140|YM2151
wldcourt       machine=ns1              NAMCO|YM2151
wndrmomo       machine=wndrmomo         NAMCO|YM2151
worldwar       machine=bermudat         Y8950|YM3526
ws             machine=ns1              NAMCO|YM2151
ws89           machine=ns1              NAMCO|YM2151
ws90           machine=ns1              NAMCO|YM2151
yokaidko       machine=ns1              NAMCO|YM2151
youkaidk       machine=ns1              NAMCO|YM2151

######################################################################
# SPECIAL - SAMPLES/CUSTOM, follows hint   (370 games)
######################################################################
005            machine=005              SAMPLES
4in1           machine=4in1             CUSTOM
aafb           machine=lelandi          CUSTOM
aafbb          machine=lelandi          CUSTOM
aafbc          machine=lelandi          CUSTOM
aafbd2p        machine=lelandi          CUSTOM
alieninv       machine=invaders         SAMPLES
alleymas       machine=leland           CUSTOM
alphaho        machine=invinco4         SAMPLES
armora         machine=armora           SAMPLES
armorap        machine=armora           SAMPLES
armorar        machine=armora           SAMPLES
astinvad       machine=astinvad         SAMPLES
astrof         machine=astrof           SAMPLES
astrof2        machine=astrof           SAMPLES
astrof3        machine=astrof           SAMPLES
ataxx          machine=ataxx            CUSTOM
ataxxa         machine=ataxx            CUSTOM
ataxxj         machine=ataxx            CUSTOM
azurian        machine=galaxian         CUSTOM
bagmanmc       machine=bagmanmc         CUSTOM
baluba         machine=senjyo           CUSTOM
basebal2       machine=leland           CUSTOM
batman2        machine=batman2          CUSTOM
berzerk        machine=berzerk          CUSTOM|SAMPLES
berzerk1       machine=berzerk          CUSTOM|SAMPLES
blasto         machine=blasto           SAMPLES
blkhole        machine=galaxian         CUSTOM
blockade       machine=blockade         SAMPLES
bombbee        machine=bombbee          CUSTOM
boothill       machine=boothill         SAMPLES
bradley        machine=bradley          CUSTOM
buckrog        machine=buckrog          SAMPLES
buckrogn       machine=buckrog          SAMPLES
bzone          machine=bzone            CUSTOM
bzone2         machine=bzone            CUSTOM
bzonec         machine=bzone            CUSTOM
cannonb        machine=cannonb          CUSTOM
capitol        machine=phoenix          CUSTOM
carnival       machine=carnival         SAMPLES
carnvckt       machine=carnival         SAMPLES
catch22        machine=exidy440         CUSTOM
ccboot         machine=cclimber         CUSTOM
ccboot2        machine=cclimber         CUSTOM
cchasm         machine=cchasm           CUSTOM
cchasm1        machine=cchasm           CUSTOM
cclimber       machine=cclimber         CUSTOM
cclimbrj       machine=cclimber         CUSTOM
cerberus       machine=leland           CUSTOM
checkman       machine=checkman         CUSTOM
cheyenne       machine=exidy440         CUSTOM
chiller        machine=exidy440         CUSTOM
circus         machine=circus           SAMPLES
ckong          machine=cclimber         CUSTOM
ckonga         machine=cclimber         CUSTOM
ckongalc       machine=cclimber         CUSTOM
ckongjeu       machine=cclimber         CUSTOM
ckongo         machine=cclimber         CUSTOM
claypign       machine=exidy440         CUSTOM
clowns         machine=clowns           SAMPLES
clowns1        machine=clowns           SAMPLES
clshroad       machine=clshroad         CUSTOM
combat         machine=exidy440         CUSTOM
comotion       machine=comotion         SAMPLES
condor         machine=condor           CUSTOM
congo          machine=congo            SAMPLES
contcirc       machine=contcirc         CUSTOM
contcrcu       machine=contcirc         CUSTOM
cosmicg        machine=cosmicg          SAMPLES
cosmicmo       machine=invaders         SAMPLES
cosmo          machine=cosmo            SAMPLES
cracksht       machine=exidy440         CUSTOM
crossbow       machine=exidy440         CUSTOM
cutieq         machine=bombbee          CUSTOM
dangerz        machine=leland           CUSTOM
darius2        machine=darius2          CUSTOM
darius2d       machine=darius2d         CUSTOM
dblplay        machine=leland           CUSTOM
deadeye        machine=meadows          CUSTOM
depthch        machine=depthch          SAMPLES
depthv1        machine=depthch          SAMPLES
desterth       machine=invadpt2         SAMPLES
devilfsg       machine=devilfsg         CUSTOM
dkngjnrb       machine=dkongjr          SAMPLES
dkngjnrj       machine=dkongjr          SAMPLES
dkong          machine=dkong            SAMPLES
dkong3b        machine=dkongjr          SAMPLES
dkongjo        machine=dkong            SAMPLES
dkongjo1       machine=dkong            SAMPLES
dkongjp        machine=dkong            SAMPLES
dkongjr        machine=dkongjr          SAMPLES
dkongjrb       machine=dkongjr          SAMPLES
dkongjrj       machine=dkongjr          SAMPLES
dkongjrm       machine=dkongjrm         CUSTOM
dkongo         machine=dkong            SAMPLES
dogpatch       machine=clowns           SAMPLES
drakton        machine=dkong            SAMPLES
drius2do       machine=darius2d         CUSTOM
drivfrcg       machine=drivfrcg         CUSTOM
eagle          machine=mooncrst         CUSTOM
eagle2         machine=mooncrst         CUSTOM
earthinv       machine=invaders         SAMPLES
elim2          machine=elim2            SAMPLES
elim2a         machine=elim2            SAMPLES
elim4          machine=elim2            SAMPLES
enforce        machine=enforce          CUSTOM
exodus         machine=galaxian         CUSTOM
falcon         machine=phoenix          CUSTOM
fantasy        machine=fantasy          CUSTOM|SAMPLES
fantasyj       machine=fantasy          CUSTOM|SAMPLES
fantazia       machine=mooncrst         CUSTOM
fax            machine=fax              CUSTOM|SAMPLES
firebatl       machine=firebatl         CUSTOM
flower         machine=flower           CUSTOM
frenzy         machine=frenzy           CUSTOM|SAMPLES
frogg          machine=galaxian         CUSTOM
futspy         machine=futspy           SAMPLES
galap1         machine=galaxian         CUSTOM
galap4         machine=galaxian         CUSTOM
galapx         machine=galaxian         CUSTOM
galaxiaj       machine=galaxian         CUSTOM
galaxian       machine=galaxian         CUSTOM
galmidw        machine=galaxian         CUSTOM
galmidwo       machine=galaxian         CUSTOM
galturbo       machine=galaxian         CUSTOM
galxwar2       machine=invaders         SAMPLES
galxwars       machine=invaders         SAMPLES
galxwart       machine=invaders         SAMPLES
geebee         machine=geebee           CUSTOM
geebeeg        machine=geebee           CUSTOM
gmgalax        machine=gmgalax          CUSTOM
gomoku         machine=gomoku           CUSTOM
gorf           machine=gorf             CUSTOM|SAMPLES
gorfpgm1       machine=gorf             CUSTOM|SAMPLES
gotya          machine=gotya            SAMPLES
grescue        machine=invadpt2         SAMPLES
gridlee        machine=gridlee          CUSTOM|SAMPLES
gteikob2       machine=gteikob2         CUSTOM
gteikokb       machine=pisces           CUSTOM
gteikoku       machine=pisces           CUSTOM
gypsyjug       machine=meadows          CUSTOM
hardhat        machine=pepper2          CUSTOM|SAMPLES
hitnmis2       machine=exidy440         CUSTOM
hitnmiss       machine=exidy440         CUSTOM
hotsmash       machine=pbillian         CUSTOM
hustle         machine=hustle           SAMPLES
invad2ct       machine=invad2ct         SAMPLES
invaddlx       machine=invaders         SAMPLES
invaderl       machine=invaders         SAMPLES
invaders       machine=invaders         SAMPLES
invadpt2       machine=invadpt2         SAMPLES
invds          machine=invinco4         SAMPLES
invho2         machine=invinco4         SAMPLES
invinco        machine=invinco3         SAMPLES
jspecter       machine=invaders         SAMPLES
jspectr2       machine=invaders         SAMPLES
kageki         machine=kageki           CUSTOM|SAMPLES
kagekij        machine=kageki           CUSTOM|SAMPLES
kaitei         machine=kaitei           CUSTOM
kaitein        machine=kaitei           CUSTOM
kamikaze       machine=astinvad         SAMPLES
kingbalj       machine=kingball         CUSTOM
kingball       machine=kingball         CUSTOM
ladybugg       machine=batman2          CUSTOM
laser          machine=invaders         SAMPLES
lrescue        machine=invadpt2         SAMPLES
mario          machine=mario            SAMPLES
mariojp        machine=mario            SAMPLES
mayhem         machine=leland           CUSTOM
megaforc       machine=senjyo           CUSTOM
mineswpr       machine=blasto           SAMPLES
monkeyd        machine=cclimber         CUSTOM
monsterb       machine=monsterb         SAMPLES
moonal2        machine=mooncrst         CUSTOM
moonal2b       machine=mooncrst         CUSTOM
moonaln        machine=galaxian         CUSTOM
moonbase       machine=invaders         SAMPLES
mooncrgx       machine=mooncrgx         CUSTOM
mooncrs2       machine=mooncrst         CUSTOM
mooncrsa       machine=mooncrst         CUSTOM
mooncrsb       machine=mooncrst         CUSTOM
mooncrsg       machine=mooncrst         CUSTOM
mooncrst       machine=mooncrst         CUSTOM
mooncrsu       machine=mooncrst         CUSTOM
moonqsr        machine=moonqsr          CUSTOM
mshuttle       machine=mshuttle         CUSTOM
mshuttlj       machine=mshuttle         CUSTOM
mtrap          machine=mtrap            CUSTOM|SAMPLES
mtrap3         machine=mtrap            CUSTOM|SAMPLES
mtrap4         machine=mtrap            CUSTOM|SAMPLES
myqbert        machine=qbert            SAMPLES
natodef        machine=natodef          SAMPLES
natodefa       machine=natodef          SAMPLES
naughtya       machine=naughtyb         CUSTOM
naughtyb       machine=naughtyb         CUSTOM
naughtyc       machine=naughtyb         CUSTOM
navalone       machine=navalone         CUSTOM
nibbler        machine=fantasy          CUSTOM|SAMPLES
nibblera       machine=fantasy          CUSTOM|SAMPLES
ninjak2a       machine=ninjak2a         CUSTOM|SAMPLES
ninjak2b       machine=ninjak2a         CUSTOM|SAMPLES
ninjaw         machine=ninjaw           CUSTOM
ninjawj        machine=ninjaw           CUSTOM
nss            machine=snes             CUSTOM
nss_actr       machine=snes             CUSTOM
nss_adam       machine=snes             CUSTOM
nss_aten       machine=snes             CUSTOM
nss_con3       machine=snes             CUSTOM
nss_fzer       machine=snes             CUSTOM
nss_lwep       machine=snes             CUSTOM
nss_ncaa       machine=snes             CUSTOM
nss_rob3       machine=snes             CUSTOM
nss_skin       machine=snes             CUSTOM
nss_smw        machine=snes             CUSTOM
nss_ssoc       machine=snes             CUSTOM
nss_sten       machine=snes             CUSTOM
offroad        machine=lelandi          CUSTOM
offroadt       machine=lelandi          CUSTOM
omega          machine=galaxian         CUSTOM
orbitron       machine=galaxian         CUSTOM
ozmawar2       machine=invaders         SAMPLES
